Genotype,Stem_diameter,Biomass_yield
Akeno,0.86,7.09
CANE9233-US47-0011,-0.04,-7.19
DC-2010-001-A,,
DC-2010-001-E,-0.34,-2.18
Gunma,0.4,6.77
IGR-2011-001,,
JM0001.001,-0.24,-4.22
JM0001.002,0,-1.18
JM0001.003,-0.31,-1.87
JM0022.001,-0.21,-4.34
JM0022.002,0.28,-0.97
JM0022.003,-0.06,-5.03
JM0026.001,0.85,0.21
JM0026.002,0.11,0.32
JM0026.003,-0.09,-9.35
JM0034.001,-0.16,-3.29
JM0040.003,0.5,-3.8
JM0045.002,-0.13,-3.71
JM0047.001,0.32,0.2
JM0047.002,0.38,0.67
JM0048.001,0.04,-5.28
JM0050.002,0.16,-6.68
JM0050.003,-0.06,-4.45
JM0051.002,0.21,-8.08
JM0051.003,0.14,-3.31
JM0053.002,0.16,-2.82
JM0055.001,0.38,-1.38
JM0055.002,-0.07,-2.9
JM0057.001,0.33,-1.6
JM0057.002,0.26,-3.61
JM0058.001,0.07,6.82
JM0058.003,-0.19,-0.02
JM0059.001,-0.17,-1.92
JM0059.002,0.49,-0.87
JM0061.002,-0.22,-4.3
JM0062.001,0.41,0.86
JM0062.002,0.23,-1.77
JM0062.003,0.38,3.89
JM0069.001,0.21,0.83
JM0069.002,0.33,-1.85
JM0075.002,0.16,1.72
JM0076.001,0.51,-1.78
JM0076.002,-0.08,-6.36
JM0079.002,-0.44,-10.83
JM0085.001,0.44,-0.71
JM0085.002,-0.13,-4.11
JM0085.003,0.42,4.42
JM0091.001,-0.14,0.12
JM0091.002,0.26,4.09
JM0093.001,-0.33,-2.33
JM0094.001,-0.43,-6.5
JM0094.003,0.01,-0.09
JM0096.002,0.27,-2.62
JM0098.001,-0.14,-1.81
JM0098.002,0.09,5.11
JM0099.001,0.02,6.11
JM0118.001,1.06,12.04
JM0118.002,-0.75,-12.14
JM0118.003,0.31,9.67
JM0119.001,0.29,3.98
JM0119.002,0.39,9.41
JM0125.001,0.5,2.53
JM0134.002,0.04,-2.87
JM0216.001,-0.02,-2.4
JM0216.002,-0.18,-10.17
JM0220.001,0.12,-3.66
JM0229.001,-0.19,-0.43
JM0229.002,-0.33,-5.6
JM0232.001,0.92,13.15
JM0232.002,0.59,9.24
JM0233.002,0.26,6.14
JM0239.001,-0.12,6.81
JM0239.002,-0.33,3.8
JM0295.001,-0.1,-5.85
JM0295.002,-0.23,-9.92
JM0296.001,-0.58,-8.68
JM0296.002,-0.43,-2.29
JM0297.001,-0.49,-2
JM0298.001,0.23,3.28
JM0298.002,-0.21,-3.27
JM0300.001,0.15,-5.38
JM0300.002,-0.08,-0.76
JM0303.002,0.13,-8.38
JM0304.001,0.38,-6.89
JM0304.002,0.21,-3.6
JM0307.001,-0.11,-2.99
JM0308.002,-0.39,-7.11
JM0310.001,0.29,0.53
JM0310.002,0.04,-5.63
JM0311.001,0.02,0.67
JM0311.002,0.34,-3.39
JM0315.001,0.17,-7.94
JM0315.002,0.01,-1.91
JM0317.001,0.45,-1.73
JM0317.002,0.48,-3.55
JM0318.001,0.63,0.58
JM0318.002,0.37,-1.56
JM0319.001,-0.04,-4.31
JM0319.002,0.5,-5.87
JM0325.001,0.03,-3.78
JM0325.002,0.06,-1.39
JM0326.001,-0.41,-6.23
JM0341.002,-0.35,-3.36
JM0342.001,0.71,0.5
JM0346.001,-0.15,-9.22
JM0346.002,-0.23,-6.32
JM0347.001,-0.58,-7.21
JM0353.001,-0.18,-0.81
JM0353.002,-0.34,-6.73
JM0358.001,0.26,-0.33
JM0361.001,0.32,3.7
JM0361.002,-0.57,6.85
JM0362.001,0.36,10.87
JM0362.002,0.69,5.3
KMS005,-0.2,-7.32
KMS008,-0.03,1.23
KMS009,,
KMS011,-0.37,0.96
KMS014,-0.21,-5.16
KMS016,-0.17,3.72
KMS018,-0.44,-2.31
KMS020,0.18,2.69
KMS024,-0.02,0.18
KMS030,-0.09,-2.63
KMS031,-0.62,-4.25
KMS034,0.09,8.37
KMS036,0.24,5.85
KMS037,0.06,7.79
KMS038,0.05,0.17
KMS039,0.14,-3.21
KMS040,-0.15,-1.22
KMS042,-0.09,-3.53
KMS044,0,-6.28
KMS045,0.29,0.61
KMS046,-0.61,-0.98
KMS048,-0.45,-1.71
KMS049,-0.04,1.58
KMS050,-0.31,-0.45
KMS051,-0.02,4.39
KMS053,,
KMS054,0.01,-1.7
KMS055,-0.19,0.95
KMS056,0.41,4.53
KMS058,-0.55,-1.5
KMS059,-0.35,-2.29
KMS060,-0.12,3.25
KMS061,-0.62,-3.57
KMS062,,
KMS063,-0.27,2.39
KMS064,-0.2,-3.65
KMS065,0.03,1.76
KMS066,0.76,-4.28
KMS067,-0.59,0.28
KMS068,-0.04,2.12
