Latitude,Longitude,Biomass yield,Plant height,Number of stems,Stem diameter
37.348,128.716,457.2,202.4,86.9,5.5
36.696,127.013,1420.4,231.8,90.6,6
37.737,128.356,1417.1,194.6,119.5,5.1
37.14,127.696,604.4,226.6,90.6,5.4
36.82,129.093,2031.1,217.2,129.4,5.7
36.919,128.454,994.4,198.4,135.8,4.9
36.703,127.915,1862.5,253,120.4,6.6
35.895,127.356,1454,229.9,121.6,6
35.9,127.751,983.1,213.5,108.7,5.9
37.259,128.481,880.3,203.7,165.9,4.7
37.637,129.019,2693.3,247.9,188.5,6.4
37.197,129.036,2247.7,210.3,145.4,6.7
37.537,129.086,3401.3,229.4,143.7,6.2
37.201,128.95,1232.8,216.1,106,6.1
37.95,127.415,934.3,223.3,69.4,6.4
37.978,127.526,1077.5,212.9,127.3,5.6
38.202,128.564,837.4,244.9,101.6,6
38.187,128.014,774.6,213.2,98.5,6.1
38.264,128.361,1189.8,243.7,83.9,6.7
38.175,127.672,1272.2,199,186.9,4.7
38.224,127.486,1164.1,205.5,123,5
37.937,128.074,1578.4,236,113.4,6
38.077,128.453,1291.3,194.2,172.8,5.4
35.257,128.984,2069.4,242.3,145.9,6.1
35.676,128.437,1075.9,226.1,78.7,6.1
35.709,128.413,1676.8,204.8,161.6,5.6
37.044,128.237,1998.2,208.9,128.3,7.1
35.222,128.958,1018.4,176.6,121.9,4.8
36.033,128.27,1062.7,205.5,132.1,5.1
36.99,127.846,1825.4,205,187.9,5.8
36.068,128.266,938.1,196.3,178.7,4.6
35.278,128.693,2093.7,222.7,206.8,5.6
36.524,128.689,905.6,199.8,126.3,5.6
36.394,128.678,1601.1,218.8,135.2,6
36.66,128.473,946.3,205.1,113.6,7.2
35.288,128.54,1446.8,172.2,251.4,4.7
35.212,128.282,1821.4,229,141.8,6.1
36.038,129.235,1611.9,162.9,426.4,5.1
37.549,127.311,1545.3,225.8,141.7,5.4
37.586,126.803,2164.5,210.4,70.2,7.8
37.874,127.302,1683.1,244.9,94.1,6.4
37.987,127.017,863,180.1,112,5.5
36.834,126.582,1478.6,188.7,121.6,5.5
35.075,126.963,1576.7,202.6,107.6,6.3
36.772,126.568,2472.8,201.2,158.8,6
36.29,126.923,2571.8,248.3,127,7.2
36.311,126.933,2065,202.5,130.5,5.9
35.87,127.112,1246.9,202.1,91,5.2
36.46,127.15,2117.4,212.8,135,6.3
36.482,127.132,2199,208.9,158,6.3
35.318,126.574,2144.7,207.1,141.1,5.8
37.85,127.733,808.1,236.2,121,5.5
35.716,126.974,1499.3,218.7,119.3,6.6
34.997,127.494,1869.5,210.6,143.9,5.9
34.836,127.067,1611.5,245.6,106.1,5.9
35.406,127.311,1890.6,207.2,128,6.2
36.528,126.584,1043.9,168.2,107.2,4.9
34.634,126.625,2015.3,240.4,107.6,6.1
37.811,127.772,898.3,212.2,111.6,5.2
35.959,127.124,1874.7,217.8,103.7,6
35.987,127.087,1354.4,199.7,106.3,5.9
35.021,126.682,1786.9,216.9,126.4,5.7
35.657,126.936,1914.1,233.2,121,6.5
35.405,126.805,1669.8,234.3,121.5,6.3
34.84,126.416,2495.6,218.9,144.4,6.1
35.989,127.102,1524.1,238.5,83.9,6.4
35.046,126.83,1239.4,221.1,79.2,7
35.219,126.491,904.3,228.2,79.9,5.8
35.342,126.813,1944,224.1,106.3,6.1
35.434,127.424,1545,220.2,150.1,5.5
36.3,127.314,1812.8,230.1,120.2,6.3
38.189,128.014,1678.7,227.9,160.4,5.5
37.33,127.242,1327.3,228.2,105.3,6.4
