Latitude,Longitude,Biomass yield,Plant height,Number of stems,Stem diameter
44.201,142.052,530.3,184,94.2,5.3
44.201,142.052,1152.7,203,186.8,6.1
44.201,142.052,764.9,196.4,134.7,4.8
43.382,141.892,937.4,202.7,149.7,5.6
43.382,141.892,1149.2,244.6,101,6.8
43.382,141.892,890.5,221.3,201.2,6
43.325,141.515,1292.3,232.8,86.7,8.2
43.325,141.515,1346.7,218.6,95.9,6.6
43.325,141.515,211.6,207.8,45.4,5.6
43.181,141.314,857.8,223,153.2,5.6
43.044,141.292,737.1,226.1,68.7,7.3
43.212,140.935,550.2,217.2,106.8,5.6
43.305,140.551,1299.4,227.2,130.1,7
43.305,140.551,1386.7,232.4,117.1,7.4
43.328,140.357,605.5,195.5,86.7,6.1
42.947,140.562,717.5,204.6,110.2,6.5
42.947,140.562,835.3,210.3,123.8,5.9
42.835,140.654,742.4,192.8,91.5,6.8
42.835,140.654,1065.4,195.8,112.8,6.5
42.18,140.441,1076.2,171.3,117.4,6.7
42.401,140.3,1064.7,230.5,99.8,7
42.401,140.3,709.5,204.9,135.2,5.8
42.472,140.202,1148,213,131.9,6.8
42.472,140.202,808.8,248.3,111,6.7
42.562,140.797,1318.4,203.4,183.3,5.6
42.562,140.797,1185.6,230,109.8,7.1
42.78,140.804,884.5,182.4,142.7,5.5
41.719,141.007,1501.7,202.7,141.9,7.1
41.719,141.007,1054.6,217.5,98.9,6.6
41.719,141.007,1805,230.7,163.9,7.1
41.402,140.218,1294.8,210.6,112.5,6.6
41.402,140.218,1017.6,214.9,95.1,7
41.976,140.672,1445.6,215.6,138.1,6.4
42.072,140.799,1266.3,253,113.7,7.4
42.072,140.799,759.7,187.4,114.2,6
43.62,144.445,214.4,199,73.6,4.9
39.44,141.07,1246.9,263,89.6,7.1
39.44,141.07,863.9,210.6,105.3,5.9
39.44,141.07,1743.8,244.5,123.4,6.9
36.055,138.463,669.9,223.1,126.1,4.7
35.909,138.409,1241.5,210.3,89.6,6.6
33.572,133.388,399.8,169.5,142.7,4.5
32.424,131.178,884.4,204.8,99.6,6.3
44.22,142.05,865.6,189.2,177.7,5.9
44.22,142.05,273.7,203.1,71.4,5.5
41.45,140.08,726.6,205.1,77,6.3
42.499,141.271,756.2,201,100.8,6
42.499,141.271,538.8,202.7,121.5,5.6
42.498,141.148,586.2,189.9,174.1,4.7
42.498,141.148,955.2,209.9,209.5,5
42.498,141.149,907.6,202.5,190,4.7
42.498,141.149,1599.9,198.1,157.2,6.5
42.498,141.149,1053.3,213.9,116.3,5.6
42.306,140.988,786.6,181.5,97.4,6.5
42.306,140.988,1114.9,186.3,122.1,5.8
42.554,140.791,599.9,182.5,80.7,6.5
42.554,140.798,824.3,234.1,119.3,7.3
42.554,140.798,1015.2,206.2,119.6,6.6
42.579,140.455,875.5,200.9,142.1,5.7
42.578,140.455,446.3,173.1,97.9,4.9
42.542,140.864,1448.3,252.5,114.9,6.7
42.542,140.864,946.6,252.8,100.5,6.3
42.542,140.864,1199.5,200.2,123.1,6.2
42.542,140.864,802.5,219.3,74.8,6.9
42.542,140.862,592,186.9,73.2,6.5
42.542,140.862,968.5,207,103.9,6.1
42.862,140.694,986.5,230.6,112.8,7.2
42.862,140.694,1053.1,232.2,125.6,7.4
42.87,140.598,1093.4,249.4,110.5,8
42.87,140.598,1085.3,231.2,132,7
42.869,140.597,525.5,233.1,78.7,5.8
42.869,140.597,940.4,206.4,94.3,7.4
43.39,141.578,943.1,218.4,139.7,6.2
43.39,141.578,1168.7,226.8,166.8,6.1
43.323,141.81,659.4,186.7,145.2,5.2
43.609,142.463,846.7,225.3,104.6,5.1
43.512,142.583,1284,253.9,138.3,7.9
42.643,143.133,459.6,223.7,93.9,5.8
42.643,143.133,253.1,222.2,78.9,5.3
43.243,143.076,336.7,148.9,136.5,4.4
42.053,143.31,1158.4,193.9,140,5.4
42.053,143.31,522.8,138.7,106.8,5.2
42.133,142.9,1195.5,202.9,172,6.8
,,1766.7,252.2,187.8,5.9
