Latitude,Longitude,Biomass yield,Plant height,Number of stems,Stem diameter
,,2436.3,292,144.4,8.3
,,2388.9,271.9,143.4,7
42.6,140.646,2387.2,256.1,208.4,6.2
42.6,140.646,1491.9,248.1,118.1,6
36.561,139.561,1260.1,223.8,133.1,5.7
36.561,139.561,1962,229.8,194.2,6.8
36.055,138.463,528.3,184,97,4.9
36.055,138.463,1530.2,213.6,182.5,6
35.472,138.291,1413.8,217.4,171.7,5.7
35.472,138.291,2058.6,237.6,163.1,6.3
35.472,138.291,2194.1,247.2,168.2,6.2
33.572,133.388,3105.7,225.5,112.1,8.9
33.572,133.388,2372.5,233.7,161.6,7
33.565,133.381,2117.6,238.7,91.9,6.9
33.565,133.381,2942.4,199,157.7,7.1
31.533,131.239,2513.2,207.8,98.6,7.5
34.75,136.52,1197.1,221.2,197,5.5
34.75,136.52,629.1,187,137.9,5.2
35.05,133.72,3410.7,249.4,136,8.6
35.05,133.72,2864.8,196.7,159.8,7.8
34.4,132.71,2136.1,242.5,154.2,6.7
36,138.12,2394.6,205.2,253.3,5.9
36,138.12,1826.3,215.2,192.7,5.2
33.016,131.063,1569.2,203,98.1,6.6
33.016,131.063,2193.7,216.8,217.3,4.6
32.71,131.3,6666.4,241.7,226.7,7.6
32.71,131.3,2194.7,207.8,93.5,8.1
,,2482.1,236.6,173.9,7
