Latitude,Longitude,Biomass yield,Plant height,Number of stems,Stem diameter
38.939,-77.049,613.5,162.9,97.2,4.6
37.803,-83.663,1130,223,99.2,6.1
37.803,-83.663,601.9,170.2,111.4,5.2
37.803,-83.663,830.7,181.1,98.9,5.6
37.803,-83.663,1806.9,176,228.2,5
35.534,-82.547,1044.2,247.6,72.7,7.5
35.534,-82.547,1507.9,209.9,91.5,6.1
35.55,-82.567,901.8,179.5,75.3,7
35.55,-82.567,1648.8,227.5,111.7,6.2
35.55,-82.567,1030.6,193.2,125,6.4
35.534,-82.547,1297,200.2,188.2,5.3
35.534,-82.547,1343.9,177.4,159.9,5.5
35.837,-82.621,2022.8,239.8,180.3,5.4
35.837,-82.621,1708.8,232.2,146.8,5.6
35.591,-82.571,1030.6,242.4,97.3,6.7
35.591,-82.571,1283.1,223.2,104.3,6.2
35.591,-82.571,661.2,222,64,6.7
35.591,-82.571,532,177.8,66,6.3
35.591,-82.571,698.9,274.2,72.5,6.3
35.758,-82.541,76.1,171.7,37.1,6.1
35.758,-82.541,1002.2,205.1,137.7,5.5
35.758,-82.541,1326,256.9,117.2,7.3
39.476,-81.305,1126.9,200.6,143.8,5.3
39.476,-81.305,795.3,229.9,72.3,6.3
40.078,-75.482,975.5,193.1,91.4,5.4
40.077,-75.482,773.2,181.7,107.3,5.5
40.077,-75.482,1584.7,195.3,149.8,5.9
39.954,-75.39,984.3,210,78.7,6.6
39.954,-75.39,173.2,175.9,52.2,4.4
39.954,-75.39,1090.9,205.4,97.3,5.4
39.954,-75.39,887.6,190.1,113.2,5.8
39.954,-75.39,1735.4,204.5,197.2,5
39.954,-75.39,1195.6,204.5,134,5.3
39.964,-75.396,966.4,191.2,84.4,6.8
39.964,-75.396,560.8,197.4,83.3,5.8
38.553,-77.356,1316.3,199.1,121.8,6
38.553,-77.356,1778.2,208.3,218.8,5.2
