# This is a submission template for batch deposit of 'Plant; version 1.0' samples to the NCBI BioSample database (http://www.ncbi.nlm.nih.gov/biosample/).																																
# GREEN fields are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# BLUE  fields indicate that at least one of those fields is mandatory. If information is unavailable, please enter 'not collected',  'not applicable' or 'missing' as appropriate.																																
# YELLOW fields are optional. Leave optional fields empty (or delete them) if no information is available.																																
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.																																
# Hover over field name to view definition, or see http://www.ncbi.nlm.nih.gov/biosample/docs/attributes/.																																
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.																																
# TO MAKE A SUBMISSION: 																																
# 1. Complete this template table																																
# 2. Save the worksheet as a Text (Tab-delimited) file  -- (use 'File, Save as, Save as type: Text (Tab-delimited)' )																																
# 3. Upload the text file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/. 																																
# If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.																																
# 																																
*sample_name	sample_title	bioproject_accession	*organism	isolate	cultivar	ecotype	age	dev_stage	*geo_loc_name	*tissue	biomaterial_provider	ploidy	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
IGR-2011-005	Leaf sample from Miscanthus sacchariflorus clone IGR-2011-005	PRJNA342314	Miscanthus sacchariflorus		IGR-2011-005			vegetative	Japan	leaf	Instytut Genetyki Ro?lin Polska Akademia Nauk	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI10-00117	Leaf sample from Miscanthus sacchariflorus clone UI10-00117	PRJNA342314	Miscanthus sacchariflorus		Bluemel Giganteus			vegetative	Japan	leaf	Bluemel	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00005	Leaf sample from Miscanthus sacchariflorus clone UI11-00005	PRJNA342314	Miscanthus sacchariflorus		Gotemba Gold			vegetative	Japan	leaf	Glasshouse Works	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00006	Leaf sample from Miscanthus sacchariflorus clone UI11-00006	PRJNA342314	Miscanthus sacchariflorus		Golf Course 2x			vegetative	China	leaf	Jack Juvik, University of Illinois, Urbana-Champaign	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00027	Leaf sample from Miscanthus sacchariflorus clone UI11-00027	PRJNA342314	Miscanthus sacchariflorus		EMI-5			vegetative	Japan	leaf	USDA-Canal Point	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00031	Leaf sample from Miscanthus sacchariflorus ssp. lutarioriparius clone UI11-00031	PRJNA342314	Miscanthus lutarioriparius		PF30022			vegetative	China	leaf	New Energy Farms	2x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00032	Leaf sample from Miscanthus sacchariflorus clone UI11-00032	PRJNA342314	Miscanthus sacchariflorus		PF30150			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00033	Leaf sample from Miscanthus sacchariflorus clone UI11-00033	PRJNA342314	Miscanthus sacchariflorus		PF30151			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00034	Leaf sample from Miscanthus sacchariflorus clone UI11-00034	PRJNA342314	Miscanthus sacchariflorus		PF30152			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
UI11-00035	Leaf sample from Miscanthus sacchariflorus clone UI11-00035	PRJNA342314	Miscanthus sacchariflorus		PF30153			vegetative	Japan: Gifu	leaf	New Energy Farms	4x																				Leaf collected from plant growing at the University of Illinois, Urbana-Champaign.
